episode,task,phase,success,error,wall_ms,cpu_user_ms,cpu_sys_ms,peak_rss_kb,read_bytes,write_bytes,semantic,recovery,local_repair,structural_change,derived,active,structure_bytes,avg_depth,max_depth,uniform,model_calls,model_input_tokens,model_output_tokens
1,daily_file,warmup,1,,22.707,13.935,5.075,113588,0,8192,4,0,0,1,0,1,464,0.0,0,1,0,0,0
2,daily_hash,warmup,1,,18.272,10.715,6.264,115924,0,4096,4,0,0,1,0,2,555,0.0,0,1,0,0,0
3,daily_http,warmup,1,,37.531,20.14,17.755,116004,0,4096,5,0,0,1,0,3,663,0.0,0,1,0,0,0
4,daily_state,warmup,1,,6.999,2.952,0.109,116016,0,4096,4,0,0,1,0,4,758,0.0,0,1,0,0,0
5,daily_file,warmup,1,,7.048,0.464,2.837,116024,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
6,daily_hash,warmup,1,,19.698,16.982,5.767,118388,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
7,daily_http,warmup,1,,8.729,4.704,2.786,116052,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
8,daily_state,warmup,1,,6.828,1.425,1.496,116056,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
9,daily_file,warmup,1,,6.745,0.0,3.286,116056,0,4096,1,0,0,0,0,4,758,0.0,0,1,0,0,0
10,daily_hash,warmup,1,,17.835,9.443,9.688,117784,0,4096,1,0,0,0,0,4,759,0.0,0,1,0,0,0
11,daily_http,warmup,1,,10.79,3.663,4.074,116064,0,4096,1,0,0,0,0,4,760,0.0,0,1,0,0,0
12,daily_state,warmup,1,,6.585,2.753,0.0,116068,0,4096,1,0,0,0,0,4,761,0.0,0,1,0,0,0
13,novel_00,novel,1,,7.428,0.0,3.555,116068,0,4096,5,0,0,2,1,5,920,1.0,1,1,0,0,0
14,novel_01,novel,1,,11.597,6.543,2.949,116080,0,4096,5,0,0,1,1,6,1028,1.0,1,1,0,0,0
15,novel_02,novel,1,,17.573,5.443,9.973,118408,0,4096,4,0,0,1,1,7,1122,1.0,1,1,0,0,0
16,novel_03,novel,1,,10.368,2.323,4.485,116100,0,4096,3,0,0,1,1,7,1157,1.0,1,1,0,0,0
17,novel_04,novel,1,,7.353,3.531,0.095,116100,0,4096,4,0,0,1,1,7,1168,1.0,1,1,0,0,0
18,novel_05,novel,1,,7.536,3.669,0.001,116100,0,4096,3,0,0,1,1,7,1179,1.0,1,1,0,0,0
19,novel_06,novel,1,,10.034,7.15,0.005,116108,0,4096,5,0,0,2,2,7,1267,1.0,1,1,0,0,0
20,novel_07,novel,1,,18.663,11.581,5.28,118300,0,4096,4,0,0,1,2,7,1271,1.0,1,1,0,0,0
21,novel_08,novel,1,,8.153,4.223,0.092,116116,0,4096,3,0,0,1,2,7,1284,1.0,1,1,0,0,0
22,novel_09,novel,1,,8.731,4.735,0.148,116120,0,4096,2,0,0,1,2,7,1291,1.0,1,1,0,0,0
23,novel_10,novel,1,,8.835,0.303,4.332,116120,0,4096,3,0,0,2,3,7,1338,1.333,2,1,0,0,0
24,novel_11,novel,1,,12.202,4.761,4.352,116148,0,4096,3,0,0,1,3,7,1373,1.333,2,1,0,0,0
25,novel_12,novel,1,,20.518,11.621,6.797,118408,0,4096,4,0,0,2,4,7,1453,1.25,2,1,0,0,0
26,novel_13,novel,1,,27.854,12.466,2.201,116156,0,4096,2,0,0,1,4,7,1466,1.25,2,1,0,0,0
27,novel_14,novel,1,,10.789,7.084,0.024,116156,0,4096,2,0,0,1,4,7,1473,1.25,2,1,0,0,0
28,novel_15,novel,1,,15.485,3.235,3.701,116156,0,8192,2,0,0,1,4,7,1484,1.25,2,1,0,0,0
29,novel_16,novel,1,,11.868,7.978,1.57,116164,0,4096,3,0,0,2,5,7,1566,1.4,2,1,0,0,0
30,novel_17,novel,1,,22.448,5.212,16.174,117812,0,4096,1,0,0,1,5,7,1570,1.4,2,1,0,0,0
