kind,id,label,value
item,1,value,10
item,2,value,17
item,3,value,24
item,4,value,31
item,5,value,38
item,6,value,45
item,7,value,52
item,8,value,59
item,9,value,66
item,10,value,73
item,11,value,80
item,12,value,87
item,13,value,94
item,14,value,101
item,15,value,108
item,16,value,115
item,17,value,122
item,18,value,129
item,19,value,136
item,20,value,143
item,21,value,150
item,22,value,157
item,23,value,164
item,24,value,171
item,25,value,178
item,26,value,185
item,27,value,192
item,28,value,199
item,29,value,206
item,30,value,213
item,31,value,220
item,32,value,227
item,33,value,234
item,34,value,241
item,35,value,248
item,36,value,255
item,37,value,262
item,38,value,269
item,39,value,276
item,40,value,283
item,41,value,290
item,42,value,297
item,43,value,304
item,44,value,311
item,45,value,318
item,46,value,325
item,47,value,332
item,48,value,339
item,49,value,346
item,50,value,353
item,51,value,360
item,52,value,367
item,53,value,374
item,54,value,381
item,55,value,388
item,56,value,395
item,57,value,402
item,58,value,409
item,59,value,416
