kind,id,label,value
item,1,value,15
item,2,value,27
item,3,value,39
item,4,value,51
item,5,value,63
item,6,value,75
item,7,value,87
item,8,value,99
item,9,value,111
item,10,value,123
item,11,value,135
item,12,value,147
item,13,value,159
item,14,value,171
item,15,value,183
item,16,value,195
item,17,value,207
item,18,value,219
item,19,value,231
item,20,value,243
item,21,value,255
item,22,value,267
item,23,value,279
item,24,value,291
item,25,value,303
item,26,value,315
item,27,value,327
item,28,value,339
item,29,value,351
item,30,value,363
item,31,value,375
item,32,value,387
item,33,value,399
item,34,value,411
item,35,value,423
item,36,value,435
item,37,value,447
item,38,value,459
item,39,value,471
item,40,value,483
item,41,value,495
item,42,value,507
item,43,value,519
item,44,value,531
item,45,value,543
item,46,value,555
item,47,value,567
item,48,value,579
item,49,value,591
item,50,value,603
item,51,value,615
item,52,value,627
item,53,value,639
item,54,value,651
item,55,value,663
item,56,value,675
item,57,value,687
item,58,value,699
item,59,value,711
