kind,id,label,value
item,1,value,12
item,2,value,21
item,3,value,30
item,4,value,39
item,5,value,48
item,6,value,57
item,7,value,66
item,8,value,75
item,9,value,84
item,10,value,93
item,11,value,102
item,12,value,111
item,13,value,120
item,14,value,129
item,15,value,138
item,16,value,147
item,17,value,156
item,18,value,165
item,19,value,174
item,20,value,183
item,21,value,192
item,22,value,201
item,23,value,210
item,24,value,219
item,25,value,228
item,26,value,237
item,27,value,246
item,28,value,255
item,29,value,264
item,30,value,273
item,31,value,282
item,32,value,291
item,33,value,300
item,34,value,309
item,35,value,318
item,36,value,327
item,37,value,336
item,38,value,345
item,39,value,354
item,40,value,363
item,41,value,372
item,42,value,381
item,43,value,390
item,44,value,399
item,45,value,408
item,46,value,417
item,47,value,426
item,48,value,435
item,49,value,444
item,50,value,453
item,51,value,462
item,52,value,471
item,53,value,480
item,54,value,489
item,55,value,498
item,56,value,507
item,57,value,516
item,58,value,525
item,59,value,534
