episode,stage,stage_name,task,success,first_seen,expected_repeat,post_recovery,wall_ms,planner_ms,consolidation_ms,executor_ms,cpu_user_ms,cpu_sys_ms,rss_kb,read_bytes,write_bytes,semantic,recovery,repair,structural_change,permanent_words,provisional_words,structure_bytes,uniform
1,0,canary_core,canary_file,1,1,0,0,0.252301,0.039170,0.046051,0.166911,0.077000,0.262000,4624,0,8192,4,0,0,1,0,0,94,1
2,0,canary_core,canary_state,1,1,0,0,0.068579,0.015144,0.005944,0.047322,0.018000,0.060000,4688,0,4096,4,0,0,1,0,0,177,1
3,0,canary_core,canary_proc,1,1,0,0,0.146970,0.014400,0.010610,0.121790,0.035000,0.118000,4712,0,4096,4,0,0,1,0,0,263,1
4,0,canary_core,canary_file,1,0,1,0,0.144223,0.001651,0.000055,0.142344,0.034000,0.117000,4712,0,4096,1,0,0,0,0,0,263,1
5,0,canary_core,canary_state,1,0,1,0,0.061037,0.001296,0.000054,0.059526,0.015000,0.051000,4712,0,4096,1,0,0,0,0,0,263,1
6,0,canary_core,canary_proc,1,0,1,0,0.180095,0.001307,0.000042,0.178156,0.000000,0.189000,4712,0,4096,1,0,0,0,0,0,263,1
7,0,canary_core,canary_file,1,0,1,0,0.130692,0.001157,0.000043,0.129318,0.000000,0.137000,4712,0,4096,1,0,0,0,0,0,263,1
8,0,canary_core,canary_state,1,0,1,0,0.107505,0.001082,0.000036,0.106205,0.000000,0.113000,4712,0,4096,1,0,0,0,0,0,263,1
9,0,canary_core,canary_proc,1,0,1,0,0.137343,0.001146,0.000036,0.135997,0.000000,0.143000,4712,0,4096,1,0,0,0,0,0,263,1
10,0,canary_core,canary_file,1,0,1,0,0.132284,0.001167,0.000035,0.130920,0.000000,0.139000,4712,0,4096,1,0,0,0,0,0,264,1
11,0,canary_core,canary_state,1,0,1,0,0.078548,0.001124,0.000036,0.077220,0.000000,0.086000,4712,0,4096,1,0,0,0,0,0,265,1
12,0,canary_core,canary_proc,1,0,1,0,0.110591,0.001152,0.000036,0.109240,0.000000,0.119000,4712,0,4096,1,0,0,0,0,0,266,1
13,0,canary_core,canary_file,1,0,1,0,0.089647,0.001104,0.000036,0.088189,0.000000,0.098000,4712,0,4096,1,0,0,0,0,0,266,1
14,0,canary_core,canary_state,1,0,1,0,0.078420,0.001020,0.000036,0.077196,0.000000,0.087000,4712,0,4096,1,0,0,0,0,0,266,1
15,0,canary_core,canary_proc,1,0,1,0,0.107639,0.001065,0.000036,0.106374,0.000000,0.116000,4712,0,4096,1,0,0,0,0,0,266,1
16,0,canary_core,canary_file,1,0,1,0,0.092351,0.001124,0.000036,0.090967,0.000000,0.101000,4712,0,4096,1,0,0,0,0,0,266,1
17,0,canary_core,canary_state,1,0,1,0,0.076094,0.001064,0.000044,0.074816,0.000000,0.083000,4712,0,4096,1,0,0,0,0,0,266,1
18,0,canary_core,canary_proc,1,0,1,0,0.106499,0.001094,0.000035,0.105204,0.000000,0.115000,4712,0,4096,1,0,0,0,0,0,266,1
19,0,canary_core,canary_file,1,0,1,0,0.114473,0.001216,0.000047,0.113045,0.000000,0.122000,4712,0,4096,1,0,0,0,0,0,266,1
20,0,canary_core,canary_state,1,0,1,0,0.080662,0.001101,0.000048,0.079349,0.000000,0.088000,4712,0,4096,1,0,0,0,0,0,266,1
21,0,canary_core,canary_proc,1,0,1,0,0.164660,0.001311,0.000050,0.163134,0.000000,0.173000,4712,0,4096,1,0,0,0,0,0,266,1
22,0,canary_core,canary_file,1,0,1,0,0.125263,0.001139,0.000048,0.123915,0.000000,0.131000,4712,0,4096,1,0,0,0,0,0,266,1
23,0,canary_core,canary_state,1,0,1,0,0.079117,0.001273,0.000036,0.077646,0.000000,0.109000,4712,0,4096,1,0,0,0,0,0,266,1
24,0,canary_core,canary_proc,1,0,1,0,0.134300,0.001235,0.000036,0.132865,0.000000,0.140000,4712,0,4096,1,0,0,0,0,0,266,1
25,1,single_user_alpha,daily_file,1,1,0,0,0.211465,0.036876,0.025251,0.149166,0.000000,0.218000,4712,0,4096,4,0,0,2,0,1,340,1
26,1,single_user_alpha,daily_hash,1,1,0,0,12.617733,0.013889,0.278487,12.325126,5.471000,8.362000,4776,0,4096,4,0,0,2,0,2,418,1
27,1,single_user_alpha,daily_http,1,1,0,0,1.216130,0.125770,0.071607,1.018402,1.376000,0.000000,4796,0,4096,3,0,0,3,1,2,515,1
28,1,single_user_alpha,daily_state,1,1,0,0,0.314584,0.040839,0.056381,0.217182,0.332000,0.000000,4796,0,4096,4,0,0,2,1,3,643,1
29,1,single_user_alpha,daily_ipc,1,1,0,0,0.636927,0.055699,0.036930,0.544112,0.554000,0.000000,4800,0,4096,4,0,0,2,1,4,715,1
30,1,single_user_alpha,daily_proc,1,1,0,0,0.163327,0.018203,0.066910,0.078027,0.171000,0.000000,4800,0,4096,3,0,0,2,1,5,739,1
31,1,single_user_alpha,daily_timer,1,1,0,0,2.292777,0.018524,0.059426,2.214650,0.427000,0.000000,4864,0,4096,4,0,0,2,1,6,755,1
32,1,single_user_alpha,daily_file,1,0,1,0,0.119020,0.004710,0.000067,0.114079,0.035000,0.093000,4864,0,4096,1,0,0,0,1,6,755,1
33,1,single_user_alpha,daily_hash,1,0,1,0,13.550676,0.003927,0.001098,13.545349,0.515000,11.256000,4864,0,4096,1,0,0,0,1,6,755,1
34,1,single_user_alpha,daily_http,1,0,1,0,1.033306,0.048591,0.000379,0.983995,0.000000,1.072000,4864,0,4096,1,0,0,0,1,6,755,1
35,1,single_user_alpha,daily_state,1,0,1,0,0.166904,0.005820,0.000156,0.160760,0.000000,0.179000,4864,0,4096,1,0,0,0,1,6,755,1
36,1,single_user_alpha,daily_ipc,1,0,1,0,0.525947,0.033734,0.000212,0.491796,0.000000,0.501000,4864,0,4096,1,0,0,0,1,6,755,1
37,1,single_user_alpha,daily_proc,1,0,1,0,0.407573,0.006575,0.000482,0.400195,0.000000,0.467000,4864,0,4096,1,0,0,0,1,6,755,1
38,1,single_user_alpha,daily_timer,1,0,1,0,2.431352,0.078484,0.000084,2.352595,0.000000,0.406000,4864,0,4096,1,0,0,0,1,6,755,1
39,1,single_user_alpha,daily_file,1,0,1,0,0.096528,0.004287,0.000047,0.092023,0.000000,0.105000,4864,0,4096,1,0,0,0,1,6,755,1
40,1,single_user_alpha,daily_hash,1,0,1,0,12.101636,0.004244,0.000667,12.096541,0.383000,12.809000,4864,0,4096,1,0,0,0,1,6,755,1
41,1,single_user_alpha,daily_http,1,0,1,0,1.119415,0.065827,0.000435,1.052964,0.271000,0.873000,4864,0,4096,1,0,0,0,1,6,755,1
42,1,single_user_alpha,daily_state,1,0,1,0,0.160460,0.005169,0.000123,0.154988,0.041000,0.131000,4864,0,4096,1,0,0,0,1,6,755,1
43,1,single_user_alpha,daily_ipc,1,0,1,0,0.456336,0.027353,0.000179,0.428632,0.110000,0.356000,4864,0,4096,1,0,0,0,1,6,755,1
44,1,single_user_alpha,daily_proc,1,0,1,0,0.166016,0.004396,0.000074,0.161375,0.041000,0.132000,4864,0,4096,1,0,0,0,1,6,755,1
45,1,single_user_alpha,daily_timer,1,0,1,0,2.367934,0.003897,0.000243,2.363624,0.071000,0.229000,4864,0,4096,1,0,0,0,1,6,755,1
46,1,single_user_alpha,daily_file,1,0,1,0,0.103293,0.004029,0.000095,0.099001,0.028000,0.088000,4864,0,4096,1,0,0,0,1,6,755,1
47,1,single_user_alpha,daily_hash,1,0,1,0,11.912332,0.003559,0.000612,11.907968,7.502000,4.902000,4864,0,8192,1,0,0,0,1,6,755,1
48,1,single_user_alpha,daily_http,1,0,1,0,1.084484,0.065010,0.000576,1.018716,0.264000,0.848000,4864,0,4096,1,0,0,0,1,6,755,1
49,1,single_user_alpha,daily_state,1,0,1,0,0.159347,0.006142,0.000087,0.152924,0.185000,0.000000,4864,0,4096,1,0,0,0,1,6,755,1
50,1,single_user_alpha,daily_ipc,1,0,1,0,0.438931,0.004252,0.000123,0.434389,0.451000,0.000000,4864,0,4096,1,0,0,0,1,6,755,1
51,1,single_user_alpha,daily_proc,1,0,1,0,0.171792,0.004437,0.000045,0.167144,0.179000,0.000000,4864,0,4096,1,0,0,0,1,6,755,1
52,1,single_user_alpha,daily_timer,1,0,1,0,2.341611,0.003486,0.000154,2.337806,0.273000,0.000000,4864,0,4096,1,0,0,0,1,6,755,1
