episode,task,success,semantic,structural_change,state,candidate,wall_ms,cpu_ms,theta,derived,uniform
1,online_file,1,2,1,DEVELOPING,0,287.256,286.275,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
2,online_file,1,1,0,DEVELOPING,0,201.897,191.251,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
3,online_file,1,1,0,DEVELOPING,0,208.154,207.137,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
4,online_file,1,1,0,DESCENT,0,217.08,215.937,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
5,online_file,1,1,0,DESCENT,0,245.869,244.18,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
6,online_file,1,1,0,DESCENT,0,225.664,224.42,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
7,online_file,1,1,0,DESCENT,1,197.193,196.216,r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
8,online_file,1,1,0,DESCENT,0,201.134,200.533,r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
9,online_file,1,1,0,DESCENT,0,211.481,210.319,r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
10,online_file,1,1,0,DESCENT,1,246.501,241.716,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
11,online_file,1,1,0,DESCENT,1,206.083,205.275,r=16384;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
12,online_file,1,1,0,DESCENT,1,201.088,200.249,r=1024;w=1024;s=256;sum=0;ext=0;proc=0;timer=800,11,1
13,online_file,1,1,0,DESCENT,1,131.854,130.974,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
14,online_file,1,1,0,DESCENT,0,50.3719,48.727,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
15,online_file,1,1,0,DESCENT,0,50.9151,49.213,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
16,online_file,1,1,0,DESCENT,1,114.58,113.078,r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
17,online_file,1,1,0,DESCENT,1,137.779,135.858,r=512;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
18,online_file,1,1,0,DESCENT,1,54.4985,53.007,r=4096;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
19,online_file,1,1,0,DESCENT,1,54.5161,52.48,r=1024;w=128;s=256;sum=1;ext=0;proc=0;timer=800,11,1
20,online_file,1,1,0,DESCENT,1,62.2193,60.911,r=1024;w=512;s=256;sum=1;ext=0;proc=0;timer=800,11,1
21,online_file,1,1,0,DESCENT,1,118.827,117.583,r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
22,online_file,1,1,0,DESCENT,1,146.672,145.658,r=512;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
23,online_file,1,1,0,DESCENT,1,51.0572,48.967,r=4096;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
24,online_file,1,1,0,DESCENT,1,50.5544,48.954,r=1024;w=128;s=256;sum=1;ext=0;proc=0;timer=800,11,1
25,online_file,1,1,0,CONVERGED,1,50.3348,48.345,r=1024;w=512;s=256;sum=1;ext=0;proc=0;timer=800,11,1
26,online_file,1,1,0,CONVERGED,0,50.9649,48.903,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
27,online_file,1,1,0,CONVERGED,0,53.3985,51.137,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
28,online_file,1,1,0,CONVERGED,0,51.3827,49.647,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
29,online_file,1,1,0,CONVERGED,0,50.3236,48.846,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
30,online_file,1,1,0,CONVERGED,0,51.8145,50.055,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
31,online_file,1,1,0,CONVERGED,0,50.928,48.849,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
32,online_file,1,1,0,CONVERGED,0,95.6035,56.708,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
33,online_file,1,1,0,CONVERGED,0,51.8872,49.377,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
34,online_file,1,1,0,CONVERGED,0,51.3765,49.796,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
35,online_file,1,1,0,CONVERGED,0,62.0595,59.845,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
36,online_file,1,1,0,CONVERGED,0,56.5857,55.283,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
37,online_file,1,1,0,CONVERGED,0,52.3593,50.892,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
38,online_file,1,1,0,CONVERGED,0,54.1104,51.871,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
39,online_file,1,1,0,CONVERGED,0,52.3882,50.161,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
40,online_file,1,1,0,CONVERGED,0,53.7077,52.354,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
41,online_file,1,1,0,CONVERGED,0,56.1882,53.566,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
42,online_file,1,1,0,CONVERGED,0,238.443,52.166,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
43,online_file,1,1,0,CONVERGED,0,1247.28,72.618,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
44,online_file,1,1,0,CONVERGED,0,55.4715,53.526,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
45,online_file,1,1,0,CONVERGED,0,52.3709,50.576,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
46,online_file,1,1,0,CONVERGED,0,53.9066,51.656,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
47,online_file,1,1,0,CONVERGED,0,55.1121,52.59,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
48,online_file,1,1,0,CONVERGED,0,51.8056,49.91,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
49,online_file,1,1,0,CONVERGED,0,51.9668,50.269,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
50,online_file,1,1,0,CONVERGED,0,52.895,50.016,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
51,online_file,1,1,0,CONVERGED,0,54.1909,52.533,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
52,online_file,1,1,0,CONVERGED,0,53.8486,50.384,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
53,online_file,1,1,0,CONVERGED,0,55.4606,53.605,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
54,online_file,1,1,0,CONVERGED,0,52.4533,49.426,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
55,online_file,1,1,0,CONVERGED,0,51.4985,49.041,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
56,online_file,1,1,0,CONVERGED,0,51.1185,49.804,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
57,online_file,1,1,0,CONVERGED,0,50.9149,49.077,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
58,online_file,1,1,0,CONVERGED,0,50.9773,49.123,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
59,online_file,1,1,0,CONVERGED,0,51.0583,49.147,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
60,online_file,1,1,0,CONVERGED,0,50.201,48.674,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800,11,1
61,online_http,1,2,1,DEVELOPING,0,11.0389,9.787,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
62,online_http,1,1,0,DEVELOPING,0,10.864,9.013,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
63,online_http,1,1,0,DEVELOPING,0,11.3379,9.792,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
64,online_http,1,1,0,DESCENT,0,11.4297,9.617,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800,11,1
