episode,coordinate,event,baseline_cost,observed_cost,delta,theta
7,read_chunk,probe,248.106,216.814,-31.2917,r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800
7,read_chunk,commit,248.106,216.814,-31.2917,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800 -> r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800
10,read_chunk,probe,221.188,270.673,49.485,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800
11,read_chunk,probe,221.188,226.611,5.42328,r=16384;w=256;s=256;sum=0;ext=0;proc=0;timer=800
11,read_chunk,shrink,221.188,221.188,0,r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800
12,write_chunk,probe,221.188,221.113,-0.07473,r=1024;w=1024;s=256;sum=0;ext=0;proc=0;timer=800
12,write_chunk,shrink,221.188,221.188,0,r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800
13,summary_impl,probe,221.188,144.952,-76.2359,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800
13,summary_impl,commit,221.188,144.952,-76.2359,r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800 -> r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800
16,summary_impl,probe,55.8364,125.888,70.0516,r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800
16,summary_impl,stable,55.8364,55.8364,0,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800
17,read_chunk,probe,55.8364,151.364,95.5279,r=512;w=256;s=256;sum=1;ext=0;proc=0;timer=800
18,read_chunk,probe,55.8364,59.7992,3.96283,r=4096;w=256;s=256;sum=1;ext=0;proc=0;timer=800
18,read_chunk,stable,55.8364,55.8364,0,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800
19,write_chunk,probe,55.8364,59.7641,3.92779,r=1024;w=128;s=256;sum=1;ext=0;proc=0;timer=800
20,write_chunk,probe,55.8364,68.3104,12.474,r=1024;w=512;s=256;sum=1;ext=0;proc=0;timer=800
20,write_chunk,stable,55.8364,55.8364,0,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800
21,summary_impl,probe,55.8364,130.585,74.7486,r=1024;w=256;s=256;sum=0;ext=0;proc=0;timer=800
21,summary_impl,stable,55.8364,55.8364,0,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800
22,read_chunk,probe,55.8364,161.237,105.401,r=512;w=256;s=256;sum=1;ext=0;proc=0;timer=800
23,read_chunk,probe,55.8364,55.9539,0.117492,r=4096;w=256;s=256;sum=1;ext=0;proc=0;timer=800
23,read_chunk,stable,55.8364,55.8364,0,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800
24,write_chunk,probe,55.8364,55.4498,-0.386568,r=1024;w=128;s=256;sum=1;ext=0;proc=0;timer=800
25,write_chunk,probe,55.8364,55.1693,-0.667043,r=1024;w=512;s=256;sum=1;ext=0;proc=0;timer=800
25,write_chunk,stable,55.8364,55.8364,0,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800
25,ALL,converged,55.8364,55.8364,0,r=1024;w=256;s=256;sum=1;ext=0;proc=0;timer=800
67,write_chunk,probe,12.3326,11.9031,-0.429576,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800
67,write_chunk,commit,12.3326,11.9031,-0.429576,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800 -> r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800
70,write_chunk,probe,11.9089,12.2257,0.316772,r=256;w=256;s=256;sum=0;ext=0;proc=0;timer=800
71,write_chunk,probe,11.9089,12.3412,0.432267,r=256;w=16384;s=256;sum=0;ext=0;proc=0;timer=800
71,write_chunk,shrink,11.9089,11.9089,0,r=256;w=1024;s=256;sum=0;ext=0;proc=0;timer=800
