kind,id,label,value
item,1,value,16
item,2,value,29
item,3,value,42
item,4,value,55
item,5,value,68
item,6,value,81
item,7,value,94
item,8,value,107
item,9,value,120
item,10,value,133
item,11,value,146
item,12,value,159
item,13,value,172
item,14,value,185
item,15,value,198
item,16,value,211
item,17,value,224
item,18,value,237
item,19,value,250
item,20,value,263
item,21,value,276
item,22,value,289
item,23,value,302
item,24,value,315
item,25,value,328
item,26,value,341
item,27,value,354
item,28,value,367
item,29,value,380
item,30,value,393
item,31,value,406
item,32,value,419
item,33,value,432
item,34,value,445
item,35,value,458
item,36,value,471
item,37,value,484
item,38,value,497
item,39,value,510
item,40,value,523
item,41,value,536
item,42,value,549
item,43,value,562
item,44,value,575
item,45,value,588
item,46,value,601
item,47,value,614
item,48,value,627
item,49,value,640
item,50,value,653
item,51,value,666
item,52,value,679
item,53,value,692
item,54,value,705
item,55,value,718
item,56,value,731
item,57,value,744
item,58,value,757
item,59,value,770
