kind,id,label,value
item,1,value,17
item,2,value,31
item,3,value,45
item,4,value,59
item,5,value,73
item,6,value,87
item,7,value,101
item,8,value,115
item,9,value,129
item,10,value,143
item,11,value,157
item,12,value,171
item,13,value,185
item,14,value,199
item,15,value,213
item,16,value,227
item,17,value,241
item,18,value,255
item,19,value,269
item,20,value,283
item,21,value,297
item,22,value,311
item,23,value,325
item,24,value,339
item,25,value,353
item,26,value,367
item,27,value,381
item,28,value,395
item,29,value,409
item,30,value,423
item,31,value,437
item,32,value,451
item,33,value,465
item,34,value,479
item,35,value,493
item,36,value,507
item,37,value,521
item,38,value,535
item,39,value,549
item,40,value,563
item,41,value,577
item,42,value,591
item,43,value,605
item,44,value,619
item,45,value,633
item,46,value,647
item,47,value,661
item,48,value,675
item,49,value,689
item,50,value,703
item,51,value,717
item,52,value,731
item,53,value,745
item,54,value,759
item,55,value,773
item,56,value,787
item,57,value,801
item,58,value,815
item,59,value,829
