kind,id,label,value
item,1,value,13
item,2,value,23
item,3,value,33
item,4,value,43
item,5,value,53
item,6,value,63
item,7,value,73
item,8,value,83
item,9,value,93
item,10,value,103
item,11,value,113
item,12,value,123
item,13,value,133
item,14,value,143
item,15,value,153
item,16,value,163
item,17,value,173
item,18,value,183
item,19,value,193
item,20,value,203
item,21,value,213
item,22,value,223
item,23,value,233
item,24,value,243
item,25,value,253
item,26,value,263
item,27,value,273
item,28,value,283
item,29,value,293
item,30,value,303
item,31,value,313
item,32,value,323
item,33,value,333
item,34,value,343
item,35,value,353
item,36,value,363
item,37,value,373
item,38,value,383
item,39,value,393
item,40,value,403
item,41,value,413
item,42,value,423
item,43,value,433
item,44,value,443
item,45,value,453
item,46,value,463
item,47,value,473
item,48,value,483
item,49,value,493
item,50,value,503
item,51,value,513
item,52,value,523
item,53,value,533
item,54,value,543
item,55,value,553
item,56,value,563
item,57,value,573
item,58,value,583
item,59,value,593
