kind,id,label,value
item,1,value,6
item,2,value,9
item,3,value,12
item,4,value,15
item,5,value,18
item,6,value,21
item,7,value,24
item,8,value,27
item,9,value,30
item,10,value,33
item,11,value,36
item,12,value,39
item,13,value,42
item,14,value,45
item,15,value,48
item,16,value,51
item,17,value,54
item,18,value,57
item,19,value,60
item,20,value,63
item,21,value,66
item,22,value,69
item,23,value,72
item,24,value,75
item,25,value,78
item,26,value,81
item,27,value,84
item,28,value,87
item,29,value,90
item,30,value,93
item,31,value,96
item,32,value,99
item,33,value,102
item,34,value,105
item,35,value,108
item,36,value,111
item,37,value,114
item,38,value,117
item,39,value,120
item,40,value,123
item,41,value,126
item,42,value,129
item,43,value,132
item,44,value,135
item,45,value,138
item,46,value,141
item,47,value,144
item,48,value,147
item,49,value,150
item,50,value,153
item,51,value,156
item,52,value,159
item,53,value,162
item,54,value,165
item,55,value,168
item,56,value,171
item,57,value,174
item,58,value,177
item,59,value,180
