kind,id,label,value
item,1,value,18
item,2,value,33
item,3,value,48
item,4,value,63
item,5,value,78
item,6,value,93
item,7,value,108
item,8,value,123
item,9,value,138
item,10,value,153
item,11,value,168
item,12,value,183
item,13,value,198
item,14,value,213
item,15,value,228
item,16,value,243
item,17,value,258
item,18,value,273
item,19,value,288
item,20,value,303
item,21,value,318
item,22,value,333
item,23,value,348
item,24,value,363
item,25,value,378
item,26,value,393
item,27,value,408
item,28,value,423
item,29,value,438
item,30,value,453
item,31,value,468
item,32,value,483
item,33,value,498
item,34,value,513
item,35,value,528
item,36,value,543
item,37,value,558
item,38,value,573
item,39,value,588
item,40,value,603
item,41,value,618
item,42,value,633
item,43,value,648
item,44,value,663
item,45,value,678
item,46,value,693
item,47,value,708
item,48,value,723
item,49,value,738
item,50,value,753
item,51,value,768
item,52,value,783
item,53,value,798
item,54,value,813
item,55,value,828
item,56,value,843
item,57,value,858
item,58,value,873
item,59,value,888
