phase,day_name,episodes,semantic_mean,first_seen,first_seen_semantic_mean,first_seen_one_decision_rate,planner_p95_ms,permanent_end,provisional_end,manual_minutes_modeled,human_attention_minutes_modeled,human_minutes_returned_modeled,attention_leverage
cold_start_week,Mon Aug 17,12,4.25,12,4.25,0.0,0.080578,1,9,74,7.95,66.05,9.30818
cold_start_week,Tue Aug 18,13,1.23077,2,2.5,0.0,1.39767,1,10,79,1.88333,77.1167,41.9469
cold_start_week,Wed Aug 19,14,2.0,8,2.75,0.125,0.159479,2,16,93,5.1,87.9,18.2353
cold_start_week,Thu Aug 20,16,1.8125,10,2.3,0.2,0.159288,5,20,94,6.71667,87.2833,13.995
cold_start_week,Fri Aug 21,15,1.66667,9,2.0,0.333333,0.381736,9,19,112,5.73333,106.267,19.5349
cold_start_week,Sat Aug 22,5,1.0,1,1.0,1.0,0.624422,9,20,22,0.766667,21.2333,28.6957
cold_start_week,Sun Aug 23,6,1.16667,2,1.5,0.5,0.760919,9,20,34,1.31667,32.6833,25.8228
mature_continuation_week,Mon Aug 24,10,1.3,10,1.3,0.8,0.455703,10,19,59,5.15,53.85,11.4563
mature_continuation_week,Tue Aug 25,10,1.3,3,2.0,0.0,0.560041,11,19,60,2.11667,57.8833,28.3465
mature_continuation_week,Wed Aug 26,10,1.2,3,1.66667,0.333333,0.43613,13,20,61,2.06667,58.9333,29.5161
mature_continuation_week,Thu Aug 27,10,1.0,3,1.0,1.0,0.574906,13,20,62,1.96667,60.0333,31.5254
mature_continuation_week,Fri Aug 28,10,1.0,3,1.0,1.0,0.607233,13,20,59,1.96667,57.0333,30.0
mature_continuation_week,Sat Aug 29,4,1.0,1,1.0,1.0,0.33645,13,20,20,0.7,19.3,28.5714
mature_continuation_week,Sun Aug 30,6,1.0,2,1.0,1.0,0.303006,13,20,34,1.26667,32.7333,26.8421
