application_id,workload_id,task_id,episode_index,warmth,engine,representation_tokens,planning_decisions,wall_time_ns,cpu_time_ns,user_cpu_ns,system_cpu_ns,rss_kb,bytes_read,bytes_written,syscall_count,process_spawn_count,ipc_count,network_count,permanent_words,provisional_words,candidate_count,structural_changes,optimization_used,optimization_id,verification_status,rollback_count
api-service,api_get_user,api_get_user_1,1,cold,baseline:stateless,4,0,2429100,0,0,0,0,0,0,not_measured,0,0,1,0,0,0,0,false,,,0
api-service,session_touch,session_touch_2,2,cold,baseline:stateless,3,0,47620,0,0,0,0,0,0,not_measured,0,0,0,0,0,0,0,false,,,0
api-service,api_get_user,api_get_user_3,3,warm,baseline:stateless,4,0,1951668,0,0,0,0,0,0,not_measured,0,0,1,0,0,0,0,false,,,0
api-service,session_touch,session_touch_4,4,warm,baseline:stateless,3,0,135770,0,0,0,0,0,0,not_measured,0,0,0,0,0,0,0,false,,,0
api-service,api_get_user,api_get_user_5,5,warm,baseline:stateless,4,0,2199257,0,0,0,0,0,0,not_measured,0,0,1,0,0,0,0,false,,,0
api-service,session_touch,session_touch_6,6,warm,baseline:stateless,3,0,101464,0,0,0,0,0,0,not_measured,0,0,0,0,0,0,0,false,,,0
api-service,api_get_user,api_get_user_7,7,warm,baseline:stateless,4,0,1975521,0,0,0,0,0,0,not_measured,0,0,1,0,0,0,0,false,,,0
api-service,session_touch,session_touch_8,8,warm,baseline:stateless,3,0,76532,0,0,0,0,0,0,not_measured,0,0,0,0,0,0,0,false,,,0
api-service,api_get_user,api_get_user_9,9,warm,baseline:stateless,4,0,2090850,0,0,0,0,0,0,not_measured,0,0,1,0,0,0,0,false,,,0
api-service,session_touch,session_touch_10,10,warm,baseline:stateless,3,0,74366,0,0,0,0,0,0,not_measured,0,0,0,0,0,0,0,false,,,0
api-service,api_get_user,api_get_user_11,11,warm,baseline:stateless,4,0,2063241,0,0,0,0,0,0,not_measured,0,0,1,0,0,0,0,false,,,0
api-service,session_touch,session_touch_12,12,warm,baseline:stateless,3,0,96914,0,0,0,0,0,0,not_measured,0,0,0,0,0,0,0,false,,,0
api-service,api_get_user,api_get_user_13,13,warm,baseline:stateless,4,0,2054363,0,0,0,0,0,0,not_measured,0,0,1,0,0,0,0,false,,,0
api-service,session_touch,session_touch_14,14,warm,baseline:stateless,3,0,96445,0,0,0,0,0,0,not_measured,0,0,0,0,0,0,0,false,,,0
api-service,api_get_user,api_get_user_15,15,warm,baseline:stateless,4,0,2021518,0,0,0,0,0,0,not_measured,0,0,1,0,0,0,0,false,,,0
api-service,session_touch,session_touch_16,16,warm,baseline:stateless,3,0,139545,0,0,0,0,0,0,not_measured,0,0,0,0,0,0,0,false,,,0
api-service,api_get_user,api_get_user_17,17,warm,baseline:stateless,4,0,1971520,0,0,0,0,0,0,not_measured,0,0,1,0,0,0,0,false,,,0
api-service,session_touch,session_touch_18,18,warm,baseline:stateless,3,0,94721,0,0,0,0,0,0,not_measured,0,0,0,0,0,0,0,false,,,0
api-service,api_get_user,api_get_user_19,19,warm,baseline:stateless,4,0,2029070,0,0,0,0,0,0,not_measured,0,0,1,0,0,0,0,false,,,0
api-service,session_touch,session_touch_20,20,warm,baseline:stateless,3,0,97751,0,0,0,0,0,0,not_measured,0,0,0,0,0,0,0,false,,,0
api-service,api_get_user,api_get_user_21,21,warm,baseline:stateless,4,0,2032071,0,0,0,0,0,0,not_measured,0,0,1,0,0,0,0,false,,,0
api-service,session_touch,session_touch_22,22,warm,baseline:stateless,3,0,97679,0,0,0,0,0,0,not_measured,0,0,0,0,0,0,0,false,,,0
api-service,api_get_user,api_get_user_23,23,warm,baseline:stateless,4,0,2161172,0,0,0,0,0,0,not_measured,0,0,1,0,0,0,0,false,,,0
api-service,session_touch,session_touch_24,24,warm,baseline:stateless,3,0,89375,0,0,0,0,0,0,not_measured,0,0,0,0,0,0,0,false,,,0
