engine,application_id,workload_id,occurrence_index,wall_time_ns,warmth
BASELINE_0_stateless,api-service,api_get_user,1,2429100,cold
BASELINE_0_stateless,api-service,session_touch,1,47620,cold
BASELINE_0_stateless,api-service,api_get_user,2,1951668,warm
BASELINE_0_stateless,api-service,session_touch,2,135770,warm
BASELINE_0_stateless,api-service,api_get_user,3,2199257,warm
BASELINE_0_stateless,api-service,session_touch,3,101464,warm
BASELINE_0_stateless,api-service,api_get_user,4,1975521,warm
BASELINE_0_stateless,api-service,session_touch,4,76532,warm
BASELINE_0_stateless,api-service,api_get_user,5,2090850,warm
BASELINE_0_stateless,api-service,session_touch,5,74366,warm
BASELINE_0_stateless,api-service,api_get_user,6,2063241,warm
BASELINE_0_stateless,api-service,session_touch,6,96914,warm
BASELINE_0_stateless,api-service,api_get_user,7,2054363,warm
BASELINE_0_stateless,api-service,session_touch,7,96445,warm
BASELINE_0_stateless,api-service,api_get_user,8,2021518,warm
BASELINE_0_stateless,api-service,session_touch,8,139545,warm
BASELINE_0_stateless,api-service,api_get_user,9,1971520,warm
BASELINE_0_stateless,api-service,session_touch,9,94721,warm
BASELINE_0_stateless,api-service,api_get_user,10,2029070,warm
BASELINE_0_stateless,api-service,session_touch,10,97751,warm
BASELINE_0_stateless,api-service,api_get_user,11,2032071,warm
BASELINE_0_stateless,api-service,session_touch,11,97679,warm
BASELINE_0_stateless,api-service,api_get_user,12,2161172,warm
BASELINE_0_stateless,api-service,session_touch,12,89375,warm
BASELINE_0_stateless,api-service,api_get_user,13,2031356,warm
BASELINE_0_stateless,api-service,session_touch,13,88877,warm
BASELINE_0_stateless,api-service,api_get_user,14,2042944,warm
BASELINE_0_stateless,api-service,session_touch,14,100841,warm
BASELINE_0_stateless,api-service,api_get_user,15,2028355,warm
BASELINE_0_stateless,api-service,session_touch,15,92562,warm
BASELINE_0_stateless,api-service,api_get_user,16,2013630,warm
BASELINE_0_stateless,api-service,session_touch,16,92810,warm
BASELINE_0_stateless,api-service,api_get_user,17,2032286,warm
BASELINE_0_stateless,api-service,session_touch,17,112049,warm
BASELINE_0_stateless,api-service,api_get_user,18,2068568,warm
BASELINE_0_stateless,api-service,session_touch,18,107229,warm
BASELINE_0_stateless,api-service,api_get_user,19,1961846,warm
BASELINE_0_stateless,api-service,session_touch,19,98946,warm
BASELINE_0_stateless,api-service,api_get_user,20,2082052,warm
BASELINE_0_stateless,api-service,session_touch,20,102521,warm
BASELINE_0_stateless,api-service,api_get_user,21,1963784,warm
BASELINE_0_stateless,api-service,session_touch,21,95213,warm
BASELINE_0_stateless,api-service,api_get_user,22,2021223,warm
BASELINE_0_stateless,api-service,session_touch,22,90500,warm
BASELINE_0_stateless,api-service,api_get_user,23,2026752,warm
BASELINE_0_stateless,api-service,session_touch,23,96081,warm
BASELINE_0_stateless,api-service,api_get_user,24,2053091,warm
BASELINE_0_stateless,api-service,session_touch,24,162325,warm
BASELINE_0_stateless,api-service,api_get_user,25,2060160,warm
BASELINE_0_stateless,api-service,session_touch,25,96407,warm
BASELINE_0_stateless,api-service,api_get_user,26,1970313,warm
BASELINE_0_stateless,api-service,session_touch,26,95368,warm
BASELINE_0_stateless,api-service,api_get_user,27,2350544,warm
BASELINE_0_stateless,api-service,session_touch,27,63642,warm
BASELINE_0_stateless,api-service,api_get_user,28,2136228,warm
BASELINE_0_stateless,api-service,session_touch,28,145038,warm
BASELINE_0_stateless,api-service,api_get_user,29,1961051,warm
BASELINE_0_stateless,api-service,session_touch,29,142459,warm
BASELINE_0_stateless,api-service,api_get_user,30,1880368,warm
BASELINE_0_stateless,api-service,session_touch,30,99890,warm
BASELINE_0_stateless,api-service,api_get_user,31,2003971,warm
BASELINE_0_stateless,api-service,session_touch,31,96251,warm
BASELINE_0_stateless,api-service,api_get_user,32,2012866,warm
BASELINE_0_stateless,api-service,session_touch,32,110271,warm
BASELINE_0_stateless,api-service,api_get_user,33,2008957,warm
BASELINE_0_stateless,api-service,session_touch,33,90816,warm
BASELINE_0_stateless,api-service,api_get_user,34,2035479,warm
BASELINE_0_stateless,api-service,session_touch,34,98604,warm
BASELINE_0_stateless,api-service,api_get_user,35,2022566,warm
BASELINE_0_stateless,api-service,session_touch,35,103900,warm
BASELINE_0_stateless,api-service,api_get_user,36,2069036,warm
BASELINE_0_stateless,api-service,session_touch,36,135332,warm
BASELINE_0_stateless,api-service,api_get_user,37,1921488,warm
BASELINE_0_stateless,api-service,session_touch,37,89248,warm
BASELINE_0_stateless,api-service,api_get_user,38,2034448,warm
BASELINE_0_stateless,api-service,session_touch,38,89627,warm
BASELINE_0_stateless,api-service,api_get_user,39,2045415,warm
BASELINE_0_stateless,api-service,session_touch,39,90269,warm
BASELINE_0_stateless,api-service,api_get_user,40,2038559,warm
BASELINE_0_stateless,api-service,session_touch,40,89190,warm
BASELINE_0_stateless,api-service,api_get_user,41,2094988,warm
BASELINE_0_stateless,api-service,session_touch,41,93475,warm
BASELINE_0_stateless,api-service,api_get_user,42,2175620,warm
BASELINE_0_stateless,api-service,session_touch,42,91291,warm
BASELINE_0_stateless,api-service,api_get_user,43,2044407,warm
BASELINE_0_stateless,api-service,session_touch,43,110602,warm
BASELINE_0_stateless,api-service,api_get_user,44,1991203,warm
BASELINE_0_stateless,api-service,session_touch,44,143451,warm
BASELINE_0_stateless,api-service,api_get_user,45,1961790,warm
BASELINE_0_stateless,api-service,session_touch,45,93736,warm
BASELINE_0_stateless,report-worker,daily_report,1,100705,cold
BASELINE_0_stateless,report-worker,archive_check,1,2542933,cold
BASELINE_0_stateless,report-worker,daily_report,2,67442,warm
BASELINE_0_stateless,report-worker,archive_check,2,2032599,warm
BASELINE_0_stateless,report-worker,daily_report,3,67512,warm
BASELINE_0_stateless,report-worker,archive_check,3,1878191,warm
BASELINE_0_stateless,report-worker,daily_report,4,62462,warm
BASELINE_0_stateless,report-worker,archive_check,4,1996436,warm
BASELINE_0_stateless,report-worker,daily_report,5,62990,warm
BASELINE_0_stateless,report-worker,archive_check,5,1908046,warm
BASELINE_0_stateless,report-worker,daily_report,6,67116,warm
BASELINE_0_stateless,report-worker,archive_check,6,1917464,warm
BASELINE_0_stateless,report-worker,daily_report,7,108672,warm
BASELINE_0_stateless,report-worker,archive_check,7,2391241,warm
BASELINE_0_stateless,report-worker,daily_report,8,104194,warm
BASELINE_0_stateless,report-worker,archive_check,8,1934480,warm
BASELINE_0_stateless,report-worker,daily_report,9,74087,warm
BASELINE_0_stateless,report-worker,archive_check,9,2061476,warm
BASELINE_0_stateless,report-worker,daily_report,10,66886,warm
BASELINE_0_stateless,report-worker,archive_check,10,1984960,warm
BASELINE_0_stateless,report-worker,daily_report,11,63534,warm
BASELINE_0_stateless,report-worker,archive_check,11,1817507,warm
BASELINE_0_stateless,report-worker,daily_report,12,104681,warm
