episode,task,phase,semantic,words,provisional,structural
1,daily_file,warmup,4,0,0,1
2,daily_hash,warmup,4,0,0,1
3,daily_http,warmup,5,0,0,1
4,daily_state,warmup,4,0,0,1
5,daily_ipc,warmup,4,0,0,1
6,daily_proc,warmup,4,0,0,1
7,daily_timer,warmup,4,0,0,1
8,daily_file,warmup,1,0,0,0
9,daily_hash,warmup,1,0,0,0
10,daily_http,warmup,1,0,0,0
11,daily_state,warmup,1,0,0,0
12,daily_ipc,warmup,1,0,0,0
13,daily_proc,warmup,1,0,0,0
14,daily_timer,warmup,1,0,0,0
15,daily_file,warmup,1,0,0,0
16,daily_hash,warmup,1,0,0,0
17,daily_http,warmup,1,0,0,0
18,daily_state,warmup,1,0,0,0
19,daily_ipc,warmup,1,0,0,0
20,daily_proc,warmup,1,0,0,0
21,daily_timer,warmup,1,0,0,0
22,novel_00,novel,5,1,0,2
23,novel_01,novel,5,1,0,1
24,novel_02,novel,4,1,0,1
25,novel_03,novel,3,1,0,1
26,novel_04,novel,5,1,0,1
27,novel_05,novel,5,1,0,1
28,novel_06,novel,3,1,0,1
29,novel_07,novel,5,1,0,1
30,novel_08,novel,3,1,0,1
31,novel_09,novel,5,1,0,1
32,novel_10,novel,4,1,0,1
33,novel_11,novel,3,1,0,1
34,novel_12,novel,5,1,0,1
35,novel_13,novel,5,1,0,1
36,novel_14,novel,3,1,0,1
37,novel_15,novel,5,1,0,1
38,novel_16,novel,3,2,0,2
39,novel_17,novel,5,3,0,2
40,novel_18,novel,4,4,0,2
41,novel_19,novel,2,4,0,1
42,novel_20,novel,5,5,0,2
43,novel_21,novel,5,6,0,2
44,novel_22,novel,3,6,0,1
45,novel_23,novel,5,7,0,2
46,novel_24,novel,2,7,0,1
47,novel_25,novel,1,7,0,1
48,novel_26,novel,2,7,0,1
49,novel_27,novel,2,7,0,1
50,novel_28,novel,1,7,0,1
51,novel_29,novel,1,7,0,1
52,novel_30,novel,3,8,0,2
53,novel_31,novel,1,8,0,1
54,novel_32,novel,2,8,0,1
55,novel_33,novel,1,8,0,1
56,novel_34,novel,2,8,0,1
57,novel_35,novel,2,8,0,1
58,novel_36,novel,1,8,0,1
59,novel_37,novel,1,8,0,1
60,novel_38,novel,1,8,0,1
61,novel_39,novel,1,8,0,1
62,novel_00,repeat,1,8,0,0
63,novel_01,repeat,1,8,0,0
64,novel_02,repeat,1,8,0,0
65,novel_03,repeat,1,8,0,0
66,novel_04,repeat,1,8,0,0
67,novel_05,repeat,1,8,0,0
68,novel_06,repeat,1,8,0,0
69,novel_07,repeat,1,8,0,0
70,novel_08,repeat,1,8,0,0
71,novel_09,repeat,1,8,0,0
72,novel_10,repeat,1,8,0,0
73,novel_11,repeat,1,8,0,0
74,novel_12,repeat,1,8,0,0
75,novel_13,repeat,1,8,0,0
76,novel_14,repeat,1,8,0,0
77,novel_15,repeat,1,8,0,0
78,daily_file,drift,1,9,0,2
79,daily_http,drift,1,9,0,1
80,daily_hash,drift,2,9,0,1
81,daily_ipc,drift,1,9,0,1
82,tail_0,evict,1,9,0,1
83,tail_1,evict,1,9,0,1
84,tail_2,evict,2,10,0,2
85,tail_3,evict,2,11,0,2
86,tail_4,evict,1,11,0,1
87,tail_5,evict,1,11,0,1
88,tail_6,evict,1,11,0,1
89,tail_7,evict,1,11,0,1
90,tail_8,evict,1,11,0,1
91,tail_9,evict,1,11,0,1
92,daily_http,ancestral,2,11,0,1
93,daily_http,post_recovery,1,11,0,0
94,daily_file,ancestral,2,11,0,1
95,daily_file,post_recovery,1,11,0,0
96,daily_hash,ancestral,2,11,0,1
97,daily_hash,post_recovery,1,11,0,0
98,daily_ipc,ancestral,4,11,0,1
99,daily_ipc,post_recovery,1,11,0,0
