episode,day,day_name,task,first_seen,semantic,planner_ms,consolidation_ms,executor_ms,attention_seconds,permanent_words,provisional_words,structural_change
1,0,Mon Aug 24,morning_digest,1,1,0.027988,9.2e-05,0.65832,30,9,20,0
2,0,Mon Aug 24,report_intake,1,1,0.030416,7e-05,0.22495,30,9,20,0
3,0,Mon Aug 24,system_health,1,1,0.023344,6.8e-05,0.164224,30,9,20,0
4,0,Mon Aug 24,local_sync,1,1,0.02351,6.4e-05,0.220099,30,9,20,0
5,0,Mon Aug 24,backup_verify,1,1,0.02147,0.000107,12.5273,30,9,20,0
6,0,Mon Aug 24,reminder_refresh,1,1,0.241523,9.2e-05,2.26646,30,9,20,0
7,0,Mon Aug 24,wk2_project_0,1,1,0.533385,1.73515,11.7705,30,9,20,1
8,0,Mon Aug 24,wk2_project_1,1,3,0.360758,1.6155,0.779558,36,10,18,4
9,0,Mon Aug 24,wk2_project_2,1,2,0.132041,2.4383,0.145808,33,10,19,2
10,0,Mon Aug 24,closeout,1,1,0.02586,8.4e-05,0.346314,30,10,19,0
11,1,Tue Aug 25,morning_digest,0,1,0.066896,7e-05,0.659216,4,10,19,0
12,1,Tue Aug 25,report_intake,0,1,0.028042,4.8e-05,0.169202,4,10,19,0
13,1,Tue Aug 25,system_health,0,1,0.024871,4.9e-05,0.164858,4,10,19,0
14,1,Tue Aug 25,local_sync,0,1,0.024644,6.1e-05,0.185545,4,10,19,0
15,1,Tue Aug 25,backup_verify,0,1,0.06231,0.000394,13.3373,4,10,19,0
16,1,Tue Aug 25,reminder_refresh,0,1,0.300079,0.000211,2.41007,4,10,19,0
17,1,Tue Aug 25,wk2_project_3,1,2,0.772738,2.11404,0.6664,33,10,20,2
18,1,Tue Aug 25,wk2_project_4,1,2,0.083488,1.14522,0.22393,33,10,19,2
19,1,Tue Aug 25,wk2_project_5,1,2,0.095167,2.52823,0.095587,33,11,19,3
20,1,Tue Aug 25,closeout,0,1,0.028585,9.3e-05,0.233514,4,11,19,0
21,2,Wed Aug 26,morning_digest,0,1,0.028402,7.7e-05,0.702128,4,11,19,0
22,2,Wed Aug 26,report_intake,0,1,0.031382,9.3e-05,0.285004,4,11,19,0
23,2,Wed Aug 26,system_health,0,1,0.031994,7.8e-05,0.154136,4,11,19,0
24,2,Wed Aug 26,local_sync,0,1,0.028509,6.6e-05,0.219467,4,11,19,0
25,2,Wed Aug 26,backup_verify,0,1,0.028455,0.000193,13.2403,4,11,19,0
26,2,Wed Aug 26,reminder_refresh,0,1,0.256094,7.2e-05,2.48755,4,11,19,0
27,2,Wed Aug 26,wk2_project_6,1,2,0.583432,5.32646,11.9041,33,12,20,3
28,2,Wed Aug 26,wk2_project_7,1,1,0.236293,3.59264,0.899862,30,12,20,1
29,2,Wed Aug 26,wk2_project_8,1,2,0.177411,2.62853,3.65075,33,13,20,2
30,2,Wed Aug 26,closeout,0,1,0.055921,6.8e-05,0.251691,4,13,20,0
31,3,Thu Aug 27,morning_digest,0,1,0.033226,7.1e-05,0.514405,4,13,20,0
32,3,Thu Aug 27,report_intake,0,1,0.035081,4.5e-05,0.16326,4,13,20,0
33,3,Thu Aug 27,system_health,0,1,0.030948,5.2e-05,0.16072,4,13,20,0
34,3,Thu Aug 27,local_sync,0,1,0.030253,5e-05,0.173331,4,13,20,0
35,3,Thu Aug 27,backup_verify,0,1,0.030287,0.000151,12.4754,4,13,20,0
36,3,Thu Aug 27,reminder_refresh,0,1,0.302955,0.000154,2.50987,4,13,20,0
37,3,Thu Aug 27,wk2_project_9,1,1,0.797412,10.0327,2.19228,30,13,18,3
38,3,Thu Aug 27,wk2_project_10,1,1,0.109372,9.50865,0.493339,30,13,19,2
39,3,Thu Aug 27,wk2_project_11,1,1,0.083494,2.93125,0.360381,30,13,20,2
40,3,Thu Aug 27,closeout,0,1,0.033751,7.7e-05,0.309867,4,13,20,0
41,4,Fri Aug 28,morning_digest,0,1,0.034836,6.5e-05,0.756431,4,13,20,0
42,4,Fri Aug 28,report_intake,0,1,0.039273,7e-05,0.196099,4,13,20,0
43,4,Fri Aug 28,system_health,0,1,0.070771,6e-05,0.188,4,13,20,0
44,4,Fri Aug 28,local_sync,0,1,0.032027,5.3e-05,0.199547,4,13,20,0
45,4,Fri Aug 28,backup_verify,0,1,0.031596,9.2e-05,12.9507,4,13,20,0
46,4,Fri Aug 28,reminder_refresh,0,1,0.654799,6.9e-05,2.40284,4,13,20,0
47,4,Fri Aug 28,wk2_project_12,1,1,0.549097,3.58258,11.8413,30,13,20,1
48,4,Fri Aug 28,wk2_project_13,1,1,0.331423,3.07596,1.23644,30,13,20,1
49,4,Fri Aug 28,wk2_project_14,1,1,0.117315,3.77081,0.151053,30,13,20,1
50,4,Fri Aug 28,closeout,0,1,0.071147,9.5e-05,0.457529,4,13,20,0
51,5,Sat Aug 29,morning_digest,0,1,0.075921,9.9e-05,0.721991,4,13,20,0
52,5,Sat Aug 29,system_health,0,1,0.040217,9.9e-05,0.73736,4,13,20,0
53,5,Sat Aug 29,backup_verify,0,1,0.10654,0.000207,14.4945,4,13,20,0
