kind,id,label,value
item,1,value,7
item,2,value,11
item,3,value,15
item,4,value,19
item,5,value,23
item,6,value,27
item,7,value,31
item,8,value,35
item,9,value,39
item,10,value,43
item,11,value,47
item,12,value,51
item,13,value,55
item,14,value,59
item,15,value,63
item,16,value,67
item,17,value,71
item,18,value,75
item,19,value,79
item,20,value,83
item,21,value,87
item,22,value,91
item,23,value,95
item,24,value,99
item,25,value,103
item,26,value,107
item,27,value,111
item,28,value,115
item,29,value,119
item,30,value,123
item,31,value,127
item,32,value,131
item,33,value,135
item,34,value,139
item,35,value,143
item,36,value,147
item,37,value,151
item,38,value,155
item,39,value,159
item,40,value,163
item,41,value,167
item,42,value,171
item,43,value,175
item,44,value,179
item,45,value,183
item,46,value,187
item,47,value,191
item,48,value,195
item,49,value,199
item,50,value,203
item,51,value,207
item,52,value,211
item,53,value,215
item,54,value,219
item,55,value,223
item,56,value,227
item,57,value,231
item,58,value,235
item,59,value,239
