kind,id,label,value
item,1,value,14
item,2,value,25
item,3,value,36
item,4,value,47
item,5,value,58
item,6,value,69
item,7,value,80
item,8,value,91
item,9,value,102
item,10,value,113
item,11,value,124
item,12,value,135
item,13,value,146
item,14,value,157
item,15,value,168
item,16,value,179
item,17,value,190
item,18,value,201
item,19,value,212
item,20,value,223
item,21,value,234
item,22,value,245
item,23,value,256
item,24,value,267
item,25,value,278
item,26,value,289
item,27,value,300
item,28,value,311
item,29,value,322
item,30,value,333
item,31,value,344
item,32,value,355
item,33,value,366
item,34,value,377
item,35,value,388
item,36,value,399
item,37,value,410
item,38,value,421
item,39,value,432
item,40,value,443
item,41,value,454
item,42,value,465
item,43,value,476
item,44,value,487
item,45,value,498
item,46,value,509
item,47,value,520
item,48,value,531
item,49,value,542
item,50,value,553
item,51,value,564
item,52,value,575
item,53,value,586
item,54,value,597
item,55,value,608
item,56,value,619
item,57,value,630
item,58,value,641
item,59,value,652
