kind,id,label,value
item,1,value,4
item,2,value,5
item,3,value,6
item,4,value,7
item,5,value,8
item,6,value,9
item,7,value,10
item,8,value,11
item,9,value,12
item,10,value,13
item,11,value,14
item,12,value,15
item,13,value,16
item,14,value,17
item,15,value,18
item,16,value,19
item,17,value,20
item,18,value,21
item,19,value,22
item,20,value,23
item,21,value,24
item,22,value,25
item,23,value,26
item,24,value,27
item,25,value,28
item,26,value,29
item,27,value,30
item,28,value,31
item,29,value,32
item,30,value,33
item,31,value,34
item,32,value,35
item,33,value,36
item,34,value,37
item,35,value,38
item,36,value,39
item,37,value,40
item,38,value,41
item,39,value,42
item,40,value,43
item,41,value,44
item,42,value,45
item,43,value,46
item,44,value,47
item,45,value,48
item,46,value,49
item,47,value,50
item,48,value,51
item,49,value,52
item,50,value,53
item,51,value,54
item,52,value,55
item,53,value,56
item,54,value,57
item,55,value,58
item,56,value,59
item,57,value,60
item,58,value,61
item,59,value,62
