kind,id,label,value
item,1,value,3
item,2,value,3
item,3,value,3
item,4,value,3
item,5,value,3
item,6,value,3
item,7,value,3
item,8,value,3
item,9,value,3
item,10,value,3
item,11,value,3
item,12,value,3
item,13,value,3
item,14,value,3
item,15,value,3
item,16,value,3
item,17,value,3
item,18,value,3
item,19,value,3
item,20,value,3
item,21,value,3
item,22,value,3
item,23,value,3
item,24,value,3
item,25,value,3
item,26,value,3
item,27,value,3
item,28,value,3
item,29,value,3
item,30,value,3
item,31,value,3
item,32,value,3
item,33,value,3
item,34,value,3
item,35,value,3
item,36,value,3
item,37,value,3
item,38,value,3
item,39,value,3
item,40,value,3
item,41,value,3
item,42,value,3
item,43,value,3
item,44,value,3
item,45,value,3
item,46,value,3
item,47,value,3
item,48,value,3
item,49,value,3
item,50,value,3
item,51,value,3
item,52,value,3
item,53,value,3
item,54,value,3
item,55,value,3
item,56,value,3
item,57,value,3
item,58,value,3
item,59,value,3
