kind,id,label,value
item,1,value,9
item,2,value,15
item,3,value,21
item,4,value,27
item,5,value,33
item,6,value,39
item,7,value,45
item,8,value,51
item,9,value,57
item,10,value,63
item,11,value,69
item,12,value,75
item,13,value,81
item,14,value,87
item,15,value,93
item,16,value,99
item,17,value,105
item,18,value,111
item,19,value,117
item,20,value,123
item,21,value,129
item,22,value,135
item,23,value,141
item,24,value,147
item,25,value,153
item,26,value,159
item,27,value,165
item,28,value,171
item,29,value,177
item,30,value,183
item,31,value,189
item,32,value,195
item,33,value,201
item,34,value,207
item,35,value,213
item,36,value,219
item,37,value,225
item,38,value,231
item,39,value,237
item,40,value,243
item,41,value,249
item,42,value,255
item,43,value,261
item,44,value,267
item,45,value,273
item,46,value,279
item,47,value,285
item,48,value,291
item,49,value,297
item,50,value,303
item,51,value,309
item,52,value,315
item,53,value,321
item,54,value,327
item,55,value,333
item,56,value,339
item,57,value,345
item,58,value,351
item,59,value,357
