episode,day,day_name,task,category,manual_minutes,success,first_seen,semantic,recovery,repair,structural_change,planner_ms,consolidation_ms,executor_ms,wall_ms,attention_seconds,permanent_words,provisional_words,structure_bytes,rss_kb,read_bytes,write_bytes,uniform
1,0,Mon Aug 17,morning_digest,information,12,1,1,5,0,0,1,0.069499,0.026356,0.953160,1.049287,42.000000,0,0,126,4360,0,8192,1
2,0,Mon Aug 17,report_intake,office,8.000000,1,1,5,0,0,1,0.022814,0.013491,0.085496,0.121958,42.000000,0,0,223,4424,0,4096,1
3,0,Mon Aug 17,system_health,system,4.000000,1,1,5,0,0,2,0.019476,0.029143,0.235152,0.283934,42.000000,0,1,328,4432,0,4096,1
4,0,Mon Aug 17,backup_verify,system,3.000000,1,1,4,0,0,2,0.013009,0.135713,11.732638,11.881567,39.000000,0,2,411,4432,0,4096,1
5,0,Mon Aug 17,local_sync,office,3.000000,1,1,5,0,0,2,0.049897,0.034886,0.730369,0.815321,42.000000,0,3,499,4440,0,4096,1
6,0,Mon Aug 17,reminder_refresh,admin,2.000000,1,1,4,0,0,2,0.024592,0.033033,2.494663,2.552458,39.000000,0,4,604,4512,0,4096,1
7,0,Mon Aug 17,state_snapshot,admin,2.000000,1,1,2,0,0,3,0.014591,0.047104,0.100515,0.190189,33.000000,1,4,691,4512,0,4096,1
8,0,Mon Aug 17,project_alpha,project,9.000000,1,1,4,0,0,2,0.057947,0.260108,11.630504,11.948763,39.000000,1,5,829,4512,0,4096,1
9,0,Mon Aug 17,project_beta,project,10.000000,1,1,5,0,0,2,0.094119,0.073136,0.893718,1.061179,42.000000,1,6,839,4536,0,4096,1
10,0,Mon Aug 17,project_gamma,project,7.000000,1,1,5,0,0,2,0.032179,0.078836,0.235287,0.346469,42.000000,1,7,859,4540,0,4096,1
11,0,Mon Aug 17,afternoon_digest,information,8.000000,1,1,2,0,0,2,0.060962,0.143058,0.474147,0.678361,33.000000,1,8,882,4564,0,4096,1
12,0,Mon Aug 17,closeout,office,6.000000,1,1,5,0,0,2,0.040094,0.104406,0.173635,0.318341,42.000000,1,9,915,4564,0,4096,1
13,1,Tue Aug 18,morning_digest,information,12.000000,1,0,1,0,0,0,0.005135,0.000293,0.437546,0.443150,4.000000,1,9,931,4576,0,4096,1
14,1,Tue Aug 18,report_intake,office,8.000000,1,0,1,0,0,0,0.127057,0.000054,0.102842,0.230134,4.000000,1,9,927,4576,0,4096,1
15,1,Tue Aug 18,system_health,system,4.000000,1,0,1,0,0,0,0.005516,0.000064,0.136526,0.142284,4.000000,1,9,947,4576,0,4096,1
16,1,Tue Aug 18,local_sync,office,3.000000,1,0,1,0,0,0,0.006311,0.000067,0.224958,0.231512,4.000000,1,9,950,4576,0,4096,1
17,1,Tue Aug 18,morning_digest,information,12.000000,1,0,1,0,0,0,0.004452,0.000056,0.296687,0.301375,4.000000,1,9,950,4576,0,4096,1
18,1,Tue Aug 18,report_intake,office,8.000000,1,0,1,0,0,0,0.031318,0.000048,0.115035,0.146571,4.000000,1,9,950,4576,0,4096,1
19,1,Tue Aug 18,system_health,system,4.000000,1,0,1,0,0,0,0.004514,0.000044,0.141775,0.146512,4.000000,1,9,950,4576,0,4096,1
20,1,Tue Aug 18,local_sync,office,3.000000,1,0,1,0,0,0,0.004513,0.000068,0.189804,0.194562,4.000000,1,9,950,4576,0,4096,1
21,1,Tue Aug 18,project_delta,project,8.000000,1,1,3,0,0,2,0.096162,0.105122,0.061522,0.263004,36.000000,1,10,966,4576,0,4096,1
22,1,Tue Aug 18,project_epsilon,project,6.000000,1,1,2,0,0,1,0.021396,0.055688,0.116289,0.193571,33.000000,1,10,974,4576,0,4096,1
23,1,Tue Aug 18,backup_verify,system,3.000000,1,0,1,0,0,0,0.005120,0.000458,11.000487,11.006291,4.000000,1,10,950,4576,0,4096,1
24,1,Tue Aug 18,reminder_refresh,admin,2.000000,1,0,1,0,0,0,0.105919,0.000154,2.844798,2.951052,4.000000,1,10,949,4576,0,4096,1
25,1,Tue Aug 18,closeout,office,6.000000,1,0,1,0,0,0,3.303599,0.000398,0.646653,3.950840,4.000000,1,10,947,4576,0,4096,1
26,2,Wed Aug 19,morning_digest,information,12.000000,1,0,1,0,0,0,0.008754,0.000202,0.903641,0.912822,4.000000,1,10,956,4584,0,4096,1
27,2,Wed Aug 19,report_intake,office,8.000000,1,0,1,0,0,0,0.047122,0.000077,0.103496,0.150876,4.000000,1,10,948,4584,0,4096,1
28,2,Wed Aug 19,system_health,system,4.000000,1,0,1,0,0,0,0.006005,0.000065,0.178419,0.184671,4.000000,1,10,962,4584,0,4096,1
29,2,Wed Aug 19,client_job_0,project,5.000000,1,1,1,0,0,2,0.152864,0.182278,0.394377,0.729726,30.000000,1,11,982,4592,0,4096,1
30,2,Wed Aug 19,client_job_1,project,6.500000,1,1,3,0,0,3,0.031544,0.134101,2.321616,2.487505,36.000000,2,11,1004,4592,0,4096,1
31,2,Wed Aug 19,client_job_2,project,8.000000,1,1,3,0,0,2,0.036801,0.217516,2.351208,2.605719,36.000000,2,12,1087,4592,0,4096,1
32,2,Wed Aug 19,client_job_3,project,9.500000,1,1,4,0,0,2,0.030334,0.224325,0.240515,0.495374,39.000000,2,13,1094,4592,0,4096,1
33,2,Wed Aug 19,client_job_4,project,5.000000,1,1,3,0,0,3,0.062981,0.243798,0.179410,0.486383,36.000000,2,13,1105,4592,0,4096,1
34,2,Wed Aug 19,client_job_5,project,6.500000,1,1,2,0,0,2,0.025990,0.504664,14.262579,14.793468,33.000000,2,14,1103,4592,0,4096,1
35,2,Wed Aug 19,client_job_6,project,8.000000,1,1,4,0,0,2,0.171765,0.342505,0.980802,1.495318,39.000000,2,15,1135,4600,0,4096,1
36,2,Wed Aug 19,client_job_7,project,9.500000,1,1,2,0,0,2,0.038218,0.246400,0.083844,0.368666,33.000000,2,16,1142,4600,0,4096,1
37,2,Wed Aug 19,local_sync,office,3.000000,1,0,1,0,0,0,0.007540,0.000171,0.286599,0.294483,4.000000,2,16,1129,4600,0,4096,1
38,2,Wed Aug 19,reminder_refresh,admin,2.000000,1,0,1,0,0,0,0.047460,0.000077,2.344892,2.392605,4.000000,2,16,1136,4600,0,4096,1
39,2,Wed Aug 19,closeout,office,6.000000,1,0,1,0,0,0,0.008253,0.000320,0.184291,0.193037,4.000000,2,16,1136,4600,0,4096,1
40,3,Thu Aug 20,morning_digest,information,12.000000,1,0,1,0,1,2,0.050756,0.345682,0.560791,0.957451,24.000000,2,17,1161,4612,0,4096,1
41,3,Thu Aug 20,report_intake,office,8.000000,1,0,1,0,1,2,0.078404,0.367733,0.179992,0.626357,24.000000,2,18,1171,4612,0,4096,1
